a11,a12,a21,a22,b11,b12,b21,b22,x1,x2,y1,y2
2.4,8.6,7.8,5.0,0.49039982790984316,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,7.426804595142677,1.6,1.0,9.4,0.5904347630435532,0.4095652369564469,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.5400986785456334,1.6,1.0,9.4,0.8123713574831655,0.1876286425168347,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.2221118758811107,1.6,1.0,9.4,0.8381467004190173,0.16185329958098277,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.70133167211856,1.6,1.0,9.4,0.5090498250024902,0.49095017499751,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.016464330039849,1.6,1.0,9.4,0.855705243515707,0.14429475648429302,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.904786655075343,1.6,1.0,9.4,0.534868775010411,0.46513122498958887,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.39591351443491907,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,4.5893228891418945,1.6,1.0,9.4,0.7375328701944353,0.26246712980556464,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.717890362113432,1.6,1.0,9.4,0.6710395887012549,0.3289604112987451,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.1307559115945285,1.6,1.0,9.4,0.7684738427915958,0.23152615720840422,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.03402700935303704,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,1.1912950048578264,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.122341889604712,1.6,1.0,9.4,0.6500369725364814,0.34996302746351876,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.9159294891022736,1.6,1.0,9.4,0.8645595883977681,0.13544041160223178,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.524686896168484,1.6,1.0,9.4,0.6304088092618085,0.36959119073819124,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.036910506858849,1.6,1.0,9.4,0.9505584551841125,0.049441544815887487,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.4683445048653265,1.6,1.0,9.4,0.7454511171870133,0.25454888281298665,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.991416002336835,1.6,1.0,9.4,0.7783964586464849,0.221603541353515,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.616895781703618,1.6,1.0,9.4,0.6764975842333684,0.3235024157666315,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.644982231150321,1.6,1.0,9.4,0.8042139100005818,0.1957860899994182,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.90366838282618,1.6,1.0,9.4,0.5028835467445243,0.4971164532554759,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.982907260355255,1.6,1.0,9.4,0.5322213367558573,0.4677786632441426,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.616237588325209,1.6,1.0,9.4,0.5116885007788786,0.4883114992211214,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.46000145428977346,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,5.638461689622329,1.6,1.0,9.4,0.6753246671176628,0.3246753328823373,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.680013680941591,1.6,1.0,9.4,0.5801099491401707,0.41989005085982944,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.761467936781413,1.6,1.0,9.4,0.8785261902815745,0.12147380971842563,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.729202723468864,1.6,1.0,9.4,0.7285846386325522,0.2714153613674477,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.1230730787202392,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.097208833530765,1.6,1.0,9.4,0.6513037129523163,0.34869628704768363,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.7605972587750374,1.6,1.0,9.4,0.9812399469429055,0.01876005305709448,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.60535936110982,1.6,1.0,9.4,0.6266150554955783,0.3733849445044216,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.113524379293958,1.6,1.0,9.4,0.6504808256271915,0.34951917437280844,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.344261515064103,1.6,1.0,9.4,0.5203087172591956,0.47969128274080447,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.6221202036219575,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,0.05614725718624536,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,0.37582907187189485,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,1.9079052760155013,1.6,1.0,9.4,0.9646407182605011,0.03535928173949891,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.15759096115809,1.6,1.0,9.4,0.5263952447738632,0.4736047552261368,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.334523191583683,1.6,1.0,9.4,0.9195882285065022,0.08041177149349775,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.231346634242299,1.6,1.0,9.4,0.6981762104744653,0.3018237895255348,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.051829233127003,1.6,1.0,9.4,0.6536034557904081,0.3463965442095918,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.1148461814235544,1.6,1.0,9.4,0.9422484503999213,0.05775154960007867,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.6140943207724385,1.6,1.0,9.4,0.892279141655208,0.10772085834479198,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.415539795868659,1.6,1.0,9.4,0.9115038495917226,0.08849615040827738,0.4,0.6000000000000001
