a11,a12,a13,a21,a22,a23,a31,a32,a33,b11,b12,b13,b21,b22,b23,b31,b32,b33,x1,x2,x3,y1,y2,y3
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.07715098900597628,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2722768068928783,0.016633915864272902,0.7110892772428488,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7774440519861814,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29775921696802066,0.0013444698191876444,0.7008963132127918,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.4571460032967878,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28553654867069833,0.008678070797581023,0.7057853805317207,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.456189971642581,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.285501568067894,0.008699059159263564,0.7057993727728423,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.31851532475878463,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28055207446866054,0.011668755318803715,0.7077791702125358,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7500608464926306,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29667350886051536,0.0019958946836907765,0.7013305964557939,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.49050314875286993,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.286762456135415,0.007942526318751022,0.705295017545834,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.796202191385762,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2985075503289471,0.0008954698026317489,0.7005969798684211,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.6221989557016105,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2917069961730935,0.004975802296143957,0.7033172015307626,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.6514304923539704,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2928277119320564,0.004303372840766172,0.7028689152271774,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.021520288231895446,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27043824564105606,0.017737052615366455,0.7118247017435775,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.7007601543212683,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29473863053487376,0.003156821679075775,0.7021045477860505,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.14752041647014713,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.27463859564261184,0.015216842614432888,0.7101445617429551,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.5885666902504838,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.29042812601505197,0.0057431243909688645,0.7038287495939791,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.5521474435452234,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28905586655704896,0.006566480065770634,0.7043776533771806,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.09465313491794691,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2728604230553543,0.01628374616678742,0.7108558307778583,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.4679331547916876,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28593183865845495,0.008440896804927059,0.705627264536618,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.540443391046751,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.28861761275458936,0.00682943234724633,0.7045529548981643,0.323733862959285,0.4831181727904667,0.19314796425024827
5.2,3.3,2.1,3.2,5.0,1.2,1.5,4.5,5.3,0.054653915458618973,6.2,8.3,7.4,5.5,9.6,9.0,6.7,5.8,0.2715302897701638,0.017081826137901778,0.7113878840919344,0.323733862959285,0.4831181727904667,0.19314796425024827
